iter	Passed	Remaining
0	157	157410
1	171	85600
2	180	60107
3	187	46643
4	194	38647
5	201	33328
6	207	29451
7	214	26617
8	221	24347
9	228	22588
10	234	21104
11	240	19834
12	248	18865
13	254	17940
14	261	17174
15	267	16433
16	273	15829
17	280	15313
18	286	14796
19	293	14402
20	300	13990
21	305	13597
22	312	13282
23	319	12979
24	325	12697
25	332	12442
26	338	12188
27	344	11969
28	351	11754
29	358	11578
30	364	11400
31	370	11218
32	378	11097
33	387	10995
34	395	10898
35	406	10890
36	414	10784
37	422	10691
38	431	10639
39	439	10545
40	447	10459
41	456	10420
42	462	10298
43	468	10185
44	478	10164
45	485	10071
46	493	10014
47	499	9910
48	507	9850
49	513	9759
50	520	9689
51	527	9614
52	533	9537
53	541	9479
54	547	9402
55	554	9352
56	562	9302
57	569	9254
58	577	9214
59	586	9187
60	593	9135
61	599	9068
62	606	9026
63	613	8965
64	620	8918
65	626	8864
66	632	8807
67	639	8763
68	645	8707
69	652	8665
70	658	8612
71	664	8562
72	671	8530
73	677	8478
74	684	8447
75	691	8407
76	697	8357
77	704	8331
78	711	8289
79	717	8251
80	726	8246
81	734	8227
82	744	8219
83	752	8205
84	759	8173
85	765	8137
86	771	8097
87	777	8056
88	785	8036
89	791	7999
90	797	7965
91	804	7942
92	810	7906
93	817	7882
94	823	7846
95	830	7821
96	837	7795
97	843	7759
98	849	7733
99	855	7700
100	862	7676
101	868	7648
102	874	7615
103	881	7592
104	887	7562
105	893	7532
106	900	7516
107	906	7488
108	913	7468
109	920	7448
110	926	7422
111	934	7408
112	940	7382
113	947	7367
114	954	7344
115	960	7317
116	967	7304
117	973	7278
118	981	7269
119	988	7246
120	995	7231
121	1001	7208
122	1007	7185
123	1016	7179
124	1022	7154
125	1030	7145
126	1036	7122
127	1043	7105
128	1049	7088
129	1055	7066
130	1064	7058
131	1073	7061
132	1117	7283
133	1135	7335
134	1155	7400
135	1165	7406
136	1174	7401
137	1182	7385
138	1187	7358
139	1196	7346
140	1201	7322
141	1208	7303
142	1215	7285
143	1221	7259
144	1230	7253
145	1235	7229
146	1243	7215
147	1249	7194
148	1256	7178
149	1263	7160
150	1269	7137
151	1277	7124
152	1282	7101
153	1290	7087
154	1296	7068
155	1302	7046
156	1310	7036
157	1316	7014
158	1323	6999
159	1329	6981
160	1335	6959
161	1344	6957
162	1351	6938
163	1359	6928
164	1364	6907
165	1372	6896
166	1378	6878
167	1384	6856
168	1392	6848
169	1398	6828
170	1405	6815
171	1412	6799
172	1418	6780
173	1426	6770
174	1432	6750
175	1439	6739
176	1447	6732
177	1455	6720
178	1461	6703
179	1467	6685
180	1475	6676
181	1481	6658
182	1489	6649
183	1496	6635
184	1503	6622
185	1509	6606
186	1515	6588
187	1523	6578
188	1529	6561
189	1536	6551
190	1543	6536
191	1549	6519
192	1558	6516
193	1564	6499
194	1572	6491
195	1578	6476
196	1586	6468
197	1594	6456
198	1602	6449
199	1609	6436
200	1614	6419
201	1624	6415
202	1629	6397
203	1638	6391
204	1644	6379
205	1653	6373
206	1661	6366
207	1670	6359
208	1676	6344
209	1684	6336
210	1691	6325
211	1698	6314
212	1706	6304
213	1712	6290
214	1720	6283
215	1727	6270
216	1735	6260
217	1741	6246
218	1749	6237
219	1755	6225
220	1762	6214
221	1772	6210
222	1779	6199
223	1786	6188
224	1792	6174
225	1800	6164
226	1806	6151
227	1814	6143
228	1820	6130
229	1827	6116
230	1833	6104
231	1839	6090
232	1846	6078
233	1853	6067
234	1859	6054
235	1868	6048
236	1874	6033
237	1881	6024
238	1887	6010
239	1894	5997
240	1900	5984
241	1905	5968
242	1912	5956
243	1918	5943
244	1924	5929
245	1931	5919
246	1937	5906
247	1943	5894
248	1949	5880
249	1955	5866
250	1962	5857
251	1969	5844
252	1975	5833
253	1982	5823
254	1989	5812
255	1996	5803
256	2002	5790
257	2009	5779
258	2015	5766
259	2021	5752
260	2027	5741
261	2033	5729
262	2039	5716
263	2046	5705
264	2052	5692
265	2060	5685
266	2066	5673
267	2072	5660
268	2079	5652
269	2086	5641
270	2093	5631
271	2099	5618
272	2104	5605
273	2112	5597
274	2118	5585
275	2125	5574
276	2130	5561
277	2136	5548
278	2143	5538
279	2149	5526
280	2156	5517
281	2163	5508
282	2169	5496
283	2177	5489
284	2183	5477
285	2189	5466
286	2197	5458
